# 
#     Column Definitions:
#     - Total Potential Responses: All survey participants, including those who left the question blank.
#     - Non-empty Responses: All responses that are not null or empty string.
#     - Informative Responses: Responses that are not classified as non-informative (e.g., not "N/A", "No comment", etc.).
#     - Response: Individual informative responses, with each response on a separate row.
#     
"Question","Institution","Total Potential Responses","Non-empty Responses","Informative Responses","Response"
"","","","","","Stress from missed payments on mortgage is distracting. It makes you take extra pay opportunities at the expense of doing a good job with your primary role. "
"","","","","","Anxiety, tension"
"","","","","","Professor salaries have fallen so much I have to work a second job to make ends meet"
"","","","","","no"
"","","","","","It doesnâ€™t. "
"How is food or housing insecurity affecting your work?","New Mexico Junior College","40","16","16","Not at all"
"","","","","","I am not experiencing food or housing insecurity."
"","","","","","It's not affecting me."
"","","","","","not at all"
"","","","","","It is not affecting my work"
"","","","","","It is not a factor"
"","","","","","Some of my students are hungry. However, it has only effected my ability to pay for food on campus"
"","","","","","foods ok, housing in an apartment very noisy neighbors.."
"","","","","","Bad... "
"","","","","","Make me uncomfortable at work"
"","","","","","Mentality has been in a state of panic, not conducive to better work."
"","","","","","Iâ€™m often worried about food security, but it not affecting my work. "
"","","","","","worry and stress over the economy and raging inflation"
"","","","","","Sometimes I do not have options to bring to work to eat so I skip those meals"
"","","","","","Funding Resources: Lack or reduction of grant or donor funding to support programs dealing with food/housing insecurity issues.
"
"","","","","","not at all"
"How is food or housing insecurity affecting your work?","New Mexico State University, Alamogordo","33","10","9","I worry I will never be able to afford a place of my own because costs and interest rates are out of control."
"","","","","","I wake up in the middle of the night by stress. Always thinking in how I will get more money to pay the bills and mortgage."
"","","","","","Sometimes it affects my mood at work

"
"","","","","","Food is mainly stale at times and housing costs are high"
"","","","","","Does not affect my work."
"","","","",""," Staffing Requirements: Decrease in staffing due to budget cuts or the need to allocate resources to meet the increased need for food and shelter assistance."
"","","","","","causes stress"
"","","","","","Not affecting it."
"","","","","","no"
"How is food or housing insecurity affecting your work?","New Mexico State University, Grants","18","6","4","Basic living security is still able to meet, generally speaking, no impact is very serious."
"","","","","","I don't have those problems."
"","","","","","Not able to devote 100% of my attention to my job"
"","","","","","it doesn't"
"How is food or housing insecurity affecting your work?","New Mexico State University, Las Cruces","103","40","36","no"
"","","","","","It is not. "
"","","","","","It isnâ€™t. "
"","","","","","no
"
"","","","","","It is not"
"","","","","","sometimes I get distracted worrying about outside stressors (bills, etc.)"
"","","","","","It is not."
"","","","","","It's not."
"","","","","","Itâ€™s not"
"","","","","","No"
"","","","","","It's definitely something on my mind constantly "
"","","","","","It isn't"
"","","","","","It doesn't affect me, but I worry about my students."
"","","","","","It's currently not-- I will just need to find a place to move (preferably partially furnished) in a few months. "
"","","","","","I am looking for jobs elsewhere and not able to focus on my work 09%"
"","","","","","I am often stressed or thinking about extra ways to make money to supplement my faculty income. "
"","","","","","students who are food or housing insecure are harder to teach "
"","","","","","It isn't."
"","","","","","Not at all."
"","","","","","The people I serve may experience food or housing insecurity, so it affects the information I share and the recommendations I provide."
"","","","","","It's not."
"","","","","","The students and young people I work with are affected greatly and that effects how they handle my programs and activities. "
"","","","","","not really"
"","","","","","Concerned for students well being. ,
"
"","","","","","It is not. "
"","","","","","not at all"
"","","","","","not at all"
"","","","","","Serves as key factor in work to assess and develop policies and programming."
"","","","","","not"
"","","","","","It is not, thankfully."
"","","","","","i am tired, overworked, and anxious all the time, working 3 part time jobs to try to pay all the bills and then gas just doubled in price making it even more difficult"
"","","","","","The cost of housing, and the safety of my home is constantly on my mind so it's possible I'm preoccupied which doesn't allow me to focus fully. "
"","","","","","The mood is depressed, affecting the work. A factor of instability, lack of stability."
"","","","","","Severely"
"","","","","","It is not"
"","","","","","Spending so much time worrying and thinking about how to meet basic needs makes it difficult to focus at work. "
"How is food or housing insecurity affecting your work?","Northern New Mexico College","22","6","4","It does not directly affect me. It affects the students and adjuncts I work with which I find disturbing. "
"","","","","","No."
"","","","","","One bad meal put me in the hospital for two days
"
"","","","","","Food insecurity affects my teaching"
"How is food or housing insecurity affecting your work?","San Juan College","118","35","27","Stress about increasing food cost"
"","","","","","Worrying about that instead of focusing on work."
"","","","","","It doesn't"
"","","","","","It's not."
"","","","","","Not for me.  Some of my students may have this insecurity.  It affects my work"
"","","","","","Everything here is just so unbelievably expensive. I live alone so I have to take care of everything myself but I also cannot miss work. "
"","","","","","It isnâ€™t "
"","","","","","not"
"","","","","","It can be a significant issue for my students in my classes- which might cause all sorts of other problems and lead them to do poorly in the class or drop the class. "
"","","","","","I am OK due to my partner's work and due to working another job. "
"","","","","","not at all"
"","","","","","It is not. "
"","","","","","not"
"","","","","","Makes me take it more seriously!"
"","","","","","Many of my students struggle with these obstacles which makes it difficult for them to get to work and/or take care of themselves and their families."
"","","","","","students paying attention"
"","","","","","It doesn't affect me, though I know it affects some of my students."
"","","","","","It is not."
"","","","","","it does not"
"","","","","","it isn't"
"","","","","","Not affecting my work."
"","","","","","it isn't"
"","","","","","Not"
"","","","","","NO"
"","","","","","Not at all"
"","","","","","No too well"
"","","","","","No"
"How is food or housing insecurity affecting your work?","Santa Fe Community College","47","19","18","No cuento con muchos ingresos "
"","","","","","Never"
"","","","","","feeling anxiety"
"","","","","","In no way"
"","","","","","As stated before, I either have to call in sick or add to credit card debt if there isn't enough gas money to commute long distances to work.  Anxiety, depression, and fear of being on campus mean I cannot eat on days that I work until I get home.  I am afraid because faculty's working conditions are so hellish, discontent is at an all-time high, nervous breakdowns are so prevalent, and there are a lot of guns in New Mexico."
"","","","","","My students' ability to succeed"
"","","","","","Exhausted."
"","","","","","not able to meet monthly living expenses because everything has gone up and salaries have stayed the same --can't meet basic living expenses, utilities and quality food"
"","","","","","Definitely generally distracted"
"","","","","","It doesn't."
"","","","","","not right now"
"","","","","","it hasn't"
"","","","","","Tired most of the time from working 3 jobs to be able to pay for everything."
"","","","","","No SFCC cafeteria available.  East St cafe has limited options."
"","","","","","not affecting my work "
"","","","","","Students face difficult circumstances that prevent them to do well in class."
"","","","","","Lack of concentration leads to mistakes in work."
"","","","","","it impacts my students, making it more difficult for them to succeed"
"How is food or housing insecurity affecting your work?","Southeast New Mexico College","27","6","5","Huge."
"","","","","","Low energy levels"
"","","","","","It's not"
"","","","","","Positively for now"
"","","","","","Not really affecting."
"How is food or housing insecurity affecting your work?","University of New Mexico, Albuquerque","328","113","91","Worry, depression, avoiding social situations like going to lunch with colleagues."
"","","","","","UNM is going down and I am getting old. Too many useless people in administration with fat checks and little brain."
"","","","","","I feel secure; my disabled adult son lives with a family member and he and I feel insecure about his current and long term living situation, esp. when I retire and am on a fixed income. I will need to continue working as long as possible to help support my son."
"","","","","","No affect. "
"","","","","","Increasing food prices mean tough choices about meals and what we have at home. I have to make several grocery trips to find deals and that means less time working"
"","","","","","Not me directly but impacts on my students makes job harder more stressful "
"","","","","","Is not affecting my work"
"","","","","","10-Oct"
"","","","","","no"
"","","","","","More stressed"
"","","","","","it is not. i am ok. "
"","","","","","It is not "
"","","","","","Not at all."
"","","","","","Not"
"","","","","","I work with students and sometime have to find resources for them."
"","","","","","its not"
"","","","","","It is not"
"","","","","","I have staff and students who are regularly affected by food insecurity including full-time employees who go to the food bank. The food insecurity and related stress impacts their ability to focus at work and produce high quality work."
"","","","","","I am stressed about finding summer work so I can pay rent in the summer. I also need to find a second part-time job to supplement my income as an adjunct. This stress can distract me or deplete my energy for my teaching duties."
"","","","","","It doesnâ€™t "
"","","","","","Our students are stressed about it"
"","","","","","Perhaps 20-40% of the patients I see are at least partially seeking medical care because food and housing comes along with inpatient psychiatric care, if temporarily."
"","","","","","If I have to return to campus full time it will be a worry (hasn't been since COVID) as there is no time for breakfast or to make dinner and too busy to eat lunch - can't afford to eat out every day and ""to go"" stuff is usually not filling or health.  Working on campus is not a good life work balance"
"","","","","","it isn't currently"
"","","","","","It does not"
"","","","","","Not at all"
"","","","","","It is not."
"","","","","","It isn't"
"","","","","","Itâ€™s not"
"","","","","","It seriously impacts my students and the populations that my students are learning to serve. Our admissions are affected and we are getting more students who are asking for a waiver of the application fee"
"","","","","","Food and housing insecurity affect some of my students although I do not know who or when."
"","","","","","Currently it is not adversely affecting work."
"","","","","","My unstable housing situation causes me to worry about my basic needs & distracts me from teaching & research. Lack of space where I live & distance from campus make work more difficult."
"","","","","","It effects my students which in turn affects everyone on campus. "
"","","","","","It is not."
"","","","","","Did not affect"
"","","","","","See previous response"
"","","","","","Being able to eat three meals would probably help me focus more but again as a single parent who gets paid once a month I skip meals"
"","","","","","Hard to find time to cook healthy and options around work"
"","","","","","Not at all."
"","","","","","It is not."
"","","","","","It is not."
"","","","","","Not at all."
"","","","","","No"
"","","","","","It is not."
"","","","","","Not"
"","","","","","No effect."
"","","","","","not at all"
"","","","","","I think seriously about students' access to environments to do their coursework that are consistently safe in addition to technically sufficient to their needs. "
"","","","","","It is not"
"","","","","","It impacts my work, as it impacts my students. My students experiencing food or housing insecurity need more supports from me as their instructor / supervisor. "
"","","","","","No"
"","","","","","I need to find ways to take on extra work and it is very stressful. I am burning out. "
"","","","","","No"
"","","","","","Not"
"","","","","","It has not negatively impacted me. I am very blessed"
"","","","","","It is not"
"","","","","","It has not"
"","","","","","I do not have food or housing insecurity so it does not affect my work."
"","","","","","Not"
"","","","","","No afectan"
"","","","","","Not affecting"
"","","","","","Not at all"
"","","","","","It does not. "
"","","","","","it is not"
"","","","","","I get hangry "
"","","","","","Yes"
"","","","","","worry about my children, students"
"","","","","","It may diminish my students' ability to study and learn."
"","","","","","no"
"","","","","","It isn't"
"","","","","","It hasn't anymore since I am paid better and have learned where I can buy food if need be."
"","","","","","It is not doing so"
"","","","","","Stressed"
"","","","","","It isn't."
"","","","","","I am not food or housing insecure."
"","","","","","IT GOOD "
"","","","","","Very little"
"","","","","","No"
"","","","","","No"
"","","","","","It does not"
"","","","","","it does not"
"","","","","","Not at the moment, but prices are going up and our salary increase doesnâ€™t keep up with inflation 
"
"","","","","","Not at all"
"","","","","","It isn't"
"","","","","","It is difficult to make sure I have enough food to bring for lunch"
"","","","","","I doesn't"
"","","","","","Not at all "
"","","","","","It doesn't"
"","","","","","I have to consider which store I go to buy "
"","","","","","Sometimes my neighborhood is unsafe and I lose sleep. "
"How is food or housing insecurity affecting your work?","University of New Mexico, Gallup","54","21","19","Since I am employed, I do not have housing and food insecurity."
"","","","","","How can you even think about reviews or comparing your assignments or grading when you have to do it safe for your kids and you to live? It knowing it was temparary didn't make it any easier. "
"","","","","","I have to carry multiple part-time jobs that affect the quality of my work as a college professor. "
"","","","","","I know students who deal with this and whom I do not know how to help."
"","","","","","It is not."
"","","","","","it's not "
"","","","","","not a lot right now"
"","","","","","food desert leads to health isues"
"","","","","","I have to have multiple part time jobs "
"","","","","","Since I took a pay cut this year, with rent increased I have been barely making it by."
"","","","","","Keep a job because it pays better. Adjunct where I can to make ends meet"
"","","","","","no"
"","","","","","I would like to have a wage/salary that reflect the amount of work I do for my adjunct position "
"","","","","","Good "
"","","","","","not half bad"
"","","","","","Not at all"
"","","","","","No"
"","","","","","Feeling worried"
"","","","","","Thinking"
"How is food or housing insecurity affecting your work?","University of New Mexico, Los Alamos","16","7","7","no"
"","","","","","the increase in rent is making us have to move out, and find another place. However, it is difficult to find something within budget. "
"","","","","","Not affecting"
"","","","","","I feel anxious for my future."
"","","","","","2 jobs"
"","","","","","Mostly affected"
"","","","",""," very good"
"How is food or housing insecurity affecting your work?","University of New Mexico, Taos","26","11","8","I worry but weâ€™re fine. I more worry about my students "
"","","","","","I spent a short period in my youth on the street. No matter how bad the economy gets, it isn't as bad as back then."
"","","","","","Not bad"
"","","","","","no"
"","","","","","Just waiting for the other shoe to drop. Living paycheck to paycheck. "
"","","","","","It's not"
"","","","","","It's not"
"","","","","","It is not."
"How is food or housing insecurity affecting your work?","University of New Mexico, Valencia","22","5","4","It makes me feel anxious
"
"","","","","","it is not"
"","","","","","Anxiety and stress makes it difficult to give 100% at work"
"","","","","","I need to either buy food or bring food while I'm at work"
"How is food or housing insecurity affecting your work?","Western New Mexico University","13","4","3","It is not"
"","","","","","It isn't"
"","","","","","More at the level of a constant worry... Will rent go up and force us to move? Will we make enough to pay all the bills and buy food for us and pets?  Will I get enough classes to be able to pay off what we have to put on credit card? That kind of thing."
"What could your college or university do to address food and housing insecurity? Please share a solution(s).","Central New Mexico Community College","310","135","112","They are doing a great job. "
"","","","","","CNM does a food pantry. Expanding and increasing how often it offers food as well as the types of food couldn't hurt."
"","","","","","provide nutritious low cost meals on campus"
"","","","","","I really don't know. It seems asking for free stuff just makes for people to take advantage that causes those that really need it to go without. Someone has to pay for the freebies. But it seems the usual recipients are the scammers"
"","","","","","More availability around campus and provide information about food distribution options."
"","","","","","provide housing vouchers "
"","","","","","I am fine."
"","","","","","On campus housing"
"","","","","","low/moderate cost meal options for students and staff. Actively participate in conversations regarding the lack or minimal amount of affordable safe housing in Albuquerque. "
"","","","","","Affordable healthy food during school hours "
"","","","","","Provide more food options and events with free food in multiple locations and also do a better job advertising. I often see events with free food for faculty and sometimes staff throughout the day for different occasions, but rarely for students. If anything, events with free food for students tend to be at nighttime, or that's what it feels like."
"","","","","","Greater food bank drives/availability"
"","","","","","Allow people to take care of themselves and do not provide any type of assistance."
"","","","","","Pay employees a living wage.  I have a Ph.D. and make $15.50 an hour."
"","","","","","Have food pantries on all of the campuses - if addressing the need reveals this would help"
"","","","","","We have a food pantry that I think is well received at Main Campus.  Adding one to South Valley, Montoya, and West Side would help."
"","","","","","No suggestions "
"","","","","","Farmer .or growers market on campus that accept good programs"
"","","","","","Increase locations of food pantries on CNM campuses. Increase student and staff awareness of sources that could promote or provide housing security."
"","","","","","Increase our wages to keep up with inflation rates. Provide affordable healthy balanced meals on campus all the time during the week. "
"","","","","","Provide day care on campus that is excellent quality and safe and affordable."
"","","","","","Support community gardens, not have torn down the UNM student housing complex that could have housed many homeless."
"","","","","","Bring more food trucks to the campus to serve the population, and with more affordable options and more locations around campus. "
"","","","","","more days open for the CNM Main Campus food panrty.  It's only open once a week, and the line is always wrapped around the building.  Students and some employees need more!"
"","","","","","provide better, more affordable options for food on all its campuses"
"","","","","","Offer affordable AND healthy food options. Build dorms for students with families. Or offer affordable housing for students near campus."
"","","","","","I feel that my school does a lot to help students with food insecurities. "
"","","","","","Offering healthy food options on campus"
"","","","","","More affordable on campus food options. "
"","","","","","Publicize the food pantry"
"","","","","","Food vouchers, utilities vouchers."
"","","","","","Provide more courses I teach near where I live in Rio Rancho."
"","","","","","?"
"","","","","","More options for students "
"","","","","","It would be nice if CNM had food services rather than relying heavily on food trucks."
"","","","","","more food at the food pantry "
"","","","","","Grocery vouchers for those in need.  Food pantries may not provide some household items or food preferences.  "
"","","","","","Provide better pay and more security around schedules. Hire more full time faculty. "
"","","","","","Every semester I have students that struggle with housing and food insecurity. It would be great to have any resources available to students published in syllabi. "
"","","","","","My location was very close to home when I began, but it has been moved more than 10 miles from my homes. It would be great to be able to bike in. Also, There are no food options at my campus or affordable healthy options nearby."
"","","","","","More info about the great services CNM offers."
"","","","","","Free meal(s) for students or faculty that qualify"
"","","","","","Better options and pricing."
"","","","","","good question. ask them."
"","","","","","It would have been nice to have been hired full-time. But that is not going to happen now that enrollment is down. Maybe offer a year's worth of classes to part-time faculty? Not give priority to full-time in the summer. But, there is probably not a damn thing the university will do to help out its part-time faculty. It is obvious that admin does not care about its part-time workforce. "
"","","","","","Pay Faculty better. Admin make so much more yet Faculty are student facing Andrew teach five sections, which is a lot,  and are struggling with insurance costs, inflation, and poor pay"
"","","","","","They are doing a lot. "
"","","","","","Be aware"
"","","","","","Make in-person or live presentations to classrooms. Reach students where they are at and don't make them dig or do research to find help"
"","","","","","No"
"","","","","","Provide vendors at each of the campus sights or food trucks. There is no option for students to purchase or get food.  The vending machines are usually broken or unreliable. Vending machines that have more healthier options like ramen noodles, sandwiches, health bars, fruit. etc. The nearest restaurant is is about 5 minute drive from campus.  This not an option for students that rely on public transportation and being dropped off. Also, a meal card that can be purchased and reloaded with value by student, parent, or school programs. "
"","","","","","Provide food for pets."
"","","","","","Have food pantries at all campuses."
"","","","","","More access to low cost/free hot foods on campus."
"","","","","","Please pay us more. Get rid of that stupid no pay gap over holidays and breaks. It's disgusting. I've worked at CNM for 16 years, and I realize I'm an idiot. "
"","","","","","Students need to be able to eat real, nutritious food on campus.  I know they don't and wonder how they can function in class sometimes."
"","","","","","food pantry on all campuses or a shuttle to main campus on food distribution days"
"","","","","","Free meals that include fresh fruits, vegetables, and whole grains."
"","","","","","Food and housing insecurity should be monitored"
