Topic,Count,Name,Representation,Representative_Docs_x,Representative_Docs_y
23,32,23_adjuncts_adjunct_wage_pay,"['adjuncts', 'adjunct', 'wage', 'pay', 'year', 'instructor', 'professors', 'salary', 'paid', 'tas']","['better pay adjuncts', 'pay adjuncts better.', 'pay adjuncts']","['resentful employer paying better. florida double paid here. this, loyalty ccc work hard students; presented school, e.g. 5k 6am saturday working hours 10pm local county fair, refuse.', 'job pays better. adjunct make ends meet', 'like wage/salary reflect work adjunct position', 'increase salary adjunct faculty.', 'pay adjuncts reasonable wage']"
24,31,24_help_assistance_different_ashamed,"['help', 'assistance', 'different', 'ashamed', 'financial', 'funds', 'know', 'people', 'situation', 'questions']","[""people ashamed situation don't ask help. needs group watches people help."", 'little bit privilege live financial situation partner. however, different story case. answering different questions know needed help too.', 'helpf poor; however, situation - employed 30 years financial responsible stuggles. yet, assistance appears make much.']","['insufficient funds basic necessities paid for.', 'regularly think regards others. try donate create opportunities donate possible.', ""know team supported completely. create tough environment work in, don't eat safe place sleep."", 'help provide funding issues.', 'collect funds need assistance']"
25,31,25_focus_unable_hard_concentrate,"['focus', 'unable', 'hard', 'concentrate', 'makes', 'distracted', 'concentration', 'tasks', 'energy', 'mild']","['hard focus', 'hard focus.', 'focus work']","['unable focus completely work', 'inability focus commit', 'difficult focus hungry', ""distracted/can't focus"", 'makes hard concentrate job.']"
26,31,26_affecting_work_affect_proper,"['affecting', 'work', 'affect', 'proper', 'thankfully', 'insulation', 'cold', 'cranky', 'heated', 'electrical']","['affecting work.', 'affecting work.', 'affecting work.']","[""things affect work different ways, i'm cranky dont eat morning, affects teaching focus. home old insulation, sleep difficult cold difficult home heated winter, makes high electrical bills really afford, food, proper heat proper clothing"", 'affecting work.', 'affecting work.', 'affecting work.', 'affecting work.']"
27,30,27_sure_im_well_open,"['sure', 'im', 'well', 'open', 'offer', '', '', '', '', '']","['sure.', 'sure', 'sure']","['sure', 'sure', 'sure.', 'sure', 'im sure']"
28,30,28_inflation_rising_increase_rate,"['inflation', 'rising', 'increase', 'rate', 'raise', 'match', 'pace', 'salaries', 'pay', 'salary']","['increase wages rising inflation.', 'inflation', 'pay inflation. raises inflation.']","['need better pay rising inflation.', 'makes heavier workload counter inflation rising costs make ends meet.', 'inflation', 'inflation affect household budget food affected work.', 'moment, prices going salary increase doesnâ€™t inflation']"
29,30,29_que_la_los_por,"['que', 'la', 'los', 'por', 'comida', 'para', 'mi', 'en', 'el', 'lo']","['apilar comida en buenas condiciones que estã© caducada y sea comida fresca y saludable y apilar vivienda los que viven fuera en la calle siempre y cuando quieran superarse', 'aumentar mi salario sin que lo quite mi aseguransa por que nomas nos suven poco la aseguranza se queda el', 'gustaria que los bancos y las agencias que ofrecen alimentos preguntaran por documentos que las personas tienen para poder ser elegibles para la comida.']","['cheque cheque pero sale la quincena', 'manera que afecta mi salud fisica y mental', 'sicne assited patner', 'cuento muchos ingresos', 'mi trabajo esta afectado, pero afecta la inseguridad mi comunidad; especialmente los que sirvo todos los dias.']"
30,29,30_pantry_students_stocked_believe,"['pantry', 'students', 'stocked', 'believe', 'read', 'alleviate', 'accessible', 'food', 'staff', 'opening']","['provide better stocked pantry make accessible students.', 'good food pantry students staff; however, secretive processes. transparent distribution help alleviate stigma going students. donate food pantry quite often, seen seen accessing it.', 'college currently opening food pantry location small pantry location. believe going help students hopefully staff well.']","['make clear food pantry open faculty/staff.', 'today grand opening daccâ€™s comfort casita food pantry, hope help students food insecurities.', 'college currently opening food pantry location small pantry location. believe going help students hopefully staff well.', 'students appreciate food pantry emergency bags believe affordable meals south county campuses benefit students vending machines. students drop basis able drive town purchase actual meals lunch.', 'food pantry; meals site students staff, i.e. box lunches']"
31,29,31_thank_you_thanks_no,"['thank', 'you', 'thanks', 'no', 'asking', 'this', 'ery', 'doing', 'gathering', 'nope']","['no, thank you.', 'no. thank you.', 'no, thank you.']","['good job.', 'thank', 'thank', 'no, thanks', 'thanks!']"
32,28,32_insecurity_affect_work_affects,"['insecurity', 'affect', 'work', 'affects', 'affected', 'housing', 'does', 'food', 'efficiency', 'suffer']","['food housing insecurity does affect work.', 'food housing insecurity does affect work', 'food housing insecurity does affect work.k']","['work secure daily food. work, suffer food insecurity', 'currently experiencing housing security. food security supply-chain issue present. consequently, affecting work present.', 'situation food housing does affect work, luckily.', 'food housing insecurity does affect work.k', 'food housing unsafe, reduces study work efficiency']"
33,27,33_affect_doesn_work_does,"['affect', 'doesn', 'work', 'does', 'affects', 'impact', 'believe', 'time', 'though', 'don']","[""doesn't affect work time."", ""doesn't affect work."", ""doesn't affect work""]","['does affect work.', 'secure, does impact work.', ""doesn't really affect work don't think it."", ""doesn't affect work time."", 'believe effecting work.']"
34,26,34_it_depressing_great_,"['it', 'depressing', 'great', '', '', '', '', '', '', '']","[""it's"", ""it's"", ""it's""]","[""it's"", ""it's"", ""it's"", ""it's"", ""it's""]"
35,26,35_affecting_currently_work_motivation,"['affecting', 'currently', 'work', 'motivation', 'adversely', 'affectedï¼œunable', 'reputable', 'motivated', 'negativity', 'passionate']","['affecting work', 'affecting work', 'affecting work']","['impacting work', 'currently affecting work situation.', 'affecting work', ""isn't currently affecting work."", 'physical health affectedï¼œunable continue working.']"
36,25,36_stress_stressed_mental_causes,"['stress', 'stressed', 'mental', 'causes', 'alive', 'mentality', 'conducive', 'coping', 'edge', 'panic']","['stress', 'stress', 'stress']","['mental stress', 'stress keeps doing best.', 'stress', 'mental stress causes distraction', 'instability able afford healthy alive just constant stress.']"
37,24,37_cafeteria_open_build_cafe,"['cafeteria', 'open', 'build', 'cafe', 'dormitory', 'canteen', 'sfcc', 'run', 'st', 'cafeterã']","['cafeteria', 'cafeteria.', 'cafeteria!!!']","['sfcc cafeteria available. east st cafe limited options.', 're-open cafeteria.', 'cafeteria!!!', 'bring cafeteria back.', 'cafeteria open longer.']"
38,24,38_bad_good_half_really,"['bad', 'good', 'half', 'really', 'see', 'right', 'severely', 'positively', 'poorly', 'okay']","['bad...', 'half bad', 'half bad']","['slightly', 'bad', 'lot right', ""i'm ok"", 'bad...']"
39,24,39_cnm_montoya_court_reopen,"['cnm', 'montoya', 'court', 'reopen', 'nice', 'assistance', 'offers', 'pantry', 'great', 'main']","['cnm does food banks, really nice. id food, students faculty. great job cnm.', 'food options cnm campus.', 'provide meals montoya campus (cnm)']","[""cnm does food pantry. expanding increasing offers food types food couldn't hurt."", 'provide meals montoya campus (cnm)', 'reopen food court cnm montoya campus', 'think food pantry great wait address food insecurity, think need cnm. love food pantry grow more- place students, staff faculty clothing, furniture, assistance apply state/government assistance, legal mental counseling, etc.', ""days open cnm main campus food panrty. it's open week, line wrapped building. students employees need more!""]"
40,24,40_applicable_either_lucky_me,"['applicable', 'either', 'lucky', 'me', '', '', '', '', '', '']","['applicable', 'applicable', 'applicable']","['applicable', 'applicable', 'applicable', 'applicable', 'applicable.']"
41,24,41_responsibility_cared_college_anti,"['responsibility', 'cared', 'college', 'anti', 'rights', 'clinic', 'campus', 'struggling', 'people', 'think']","[""basic needs impeded ability work, regularly interfering students' academic pursuits. campus walking distance neighborhoods, provide kind on-campus housing, limited public transportation available, students struggle getting food getting nutrient-dense, healthful food doesn't lead later health problems diabetes heart disease. issues multiplied students children dependents care for, making difficult access education pathway sustainable wage."", ""personally secure, deeply troubled seeing desperate need daily basis neighborhood, to/from, campus. past weeks, incidents near campus left quite affected... person need help (in extreme mental distress far know, are/were services help simply left street. incident, female dropped pants relieved crosswalk central & cornell middle day. f-cked-up stuff daily basis, it's sad disturbing! services help people streets?"", ""motto icare couldn't truth. administration tries run college like business cares almighty $$$. anti-employee anti-faculty impacts entire campus. truly cared students, provide food resources students assistance areas. students can't housing, student achievement center hands student piece paper numbers apartment complexes. cared, actually make phone calls, cared. like temporary emergency housing offered students.""]","[""basic needs impeded ability work, regularly interfering students' academic pursuits. campus walking distance neighborhoods, provide kind on-campus housing, limited public transportation available, students struggle getting food getting nutrient-dense, healthful food doesn't lead later health problems diabetes heart disease. issues multiplied students children dependents care for, making difficult access education pathway sustainable wage."", ""personally secure, deeply troubled seeing desperate need daily basis neighborhood, to/from, campus. past weeks, incidents near campus left quite affected... person need help (in extreme mental distress far know, are/were services help simply left street. incident, female dropped pants relieved crosswalk central & cornell middle day. f-cked-up stuff daily basis, it's sad disturbing! services help people streets?"", ""campus food bank, student housing, public transport campus good staff work hard assist students hardships. don't solution."", 'think helpful college provide information empower students (how deal landlord issues, leases work, rights renters homeowners). talking students living situations.', 'think problems extend society university.']"
42,23,42_all_none_nothing_me,"['all', 'none', 'nothing', 'me', 'huge', 'well', 'going', 'lot', '', '']","['all.', 'all.', 'all.']","['all.', 'all.', 'huge.', 'all.', 'all.']"
43,23,43_faculty_staff_salaries_raise,"['faculty', 'staff', 'salaries', 'raise', 'year', 'contracts', 'pay', 'alb', 'round', 'bonuses']","['increase faculty staff salaries', ""thing giving tpts multi-year contracts full, year-round benefits. happens, feel able lease apartment albuquerque. think single university significantly improve co-factors. obvious change increase pay. however, want clear just increasing pay does solve myriad difficulties working tpt choose small increase pay multi-year contracts year-round benefits, i'd choose contracts pay."", 'pay higher wages staff. fact faculty bonuses incentives annual raises single year, staff seen increase couple years absurd. staff work harder faculty perks fom annual raises bonuses. discuss equity talking glaring issue faculty earn staff, simply completed basic degree.']","['stressed thinking extra ways make money supplement faculty income.', ""thing giving tpts multi-year contracts full, year-round benefits. happens, feel able lease apartment albuquerque. think single university significantly improve co-factors. obvious change increase pay. however, want clear just increasing pay does solve myriad difficulties working tpt choose small increase pay multi-year contracts year-round benefits, i'd choose contracts pay."", 'raise salaries faculty', 'pay staff/faculty more. inflation stinks!', 'pay faculty better living wage - gas issue rural area']"
44,22,44_concentrate_focus_energy_hungry,"['concentrate', 'focus', 'energy', 'hungry', 'stomach', 'can', 'eat', 'lack', 'tired', 'inability']","['focus little energy hungry.', ""can't concentrate don't eat"", ""hungry work can't concentrate.""]","['hungry tired - unable focus. thinking bills/meals/etc.', 'days skip meal interfere focus feeling tired.', ""can't concentrate don't eat"", 'lacking nutritional density experience create difficulties energy levels, focus, accuracy.', ""hungry work can't concentrate.""]"
45,22,45_isn_currently__,"['isn', 'currently', '', '', '', '', '', '', '', '']","[""isn't"", ""isn't"", ""isn't""]","[""isn't"", ""isn't."", ""isn't"", ""isn't, currently."", ""isn't""]"
46,20,46_anxious_anxiety_makes_interferes,"['anxious', 'anxiety', 'makes', 'interferes', 'feeling', 'uneasy', 'tension', 'severe', 'worry', 'feel']","['anxious', 'makes anxious', 'makes feel anxious']","['makes scared', 'makes anxious difficult focus embarrassed participate groups gatherings.', 'makes feel anxious', 'anxious', 'anxiety']"
47,20,47_nn_differ_contributes_well,"['nn', 'differ', 'contributes', 'well', 'family', 'provide', '', '', '', '']","['n/a', 'nn/a', 'n/a provide family contributes well. differ.']","['n/a', 'n/a', 'n/a', 'n/a', 'n/a provide family contributes well. differ.']"
48,19,48_nope_unsure_yes_nah,"['nope', 'unsure', 'yes', 'nah', 'unknown', 'life', 'no', 'good', '', '']","['nope.', 'nope.', 'nope']","['yes', 'yes', 'unsure', 'unknown', 'unsure']"
49,19,49_free_provided_meals_day,"['free', 'provided', 'meals', 'day', 'lapo', 'appear', 'nutritionist', 'grains', 'freebies', 'scammers']","['provide free food', 'provide free food', 'free food']","[""really don't know. asking free stuff just makes people advantage causes really need without. pay freebies. usual recipients scammers"", 'free food events - hotdogs/nachos/etc does appear meal day', 'free food boxes people donate food it.', 'provide free nutritional courses.', '1 meal day provided lapo met set criteria unm']"
50,18,50_effect_affect_does_effecting,"['effect', 'affect', 'does', 'effecting', 'noticed', 'me', 'negatively', 'impacted', 'blessed', 'personally']","['effect', 'does effect', 'effect.']","['does affect it.', 'effect', 'does affect', 'effect', 'effecting']"
51,18,51_paycheck_paying_benefits_wife,"['paycheck', 'paying', 'benefits', 'wife', 'job', 'mom', 'earn', 'salary', 'bills', 'make']","[""makes angry it's hard raise line inflation. i've unm 15 years good benefits, extremely expensive. single mom shouldn't struggle years."", ""it's hard trying make ends meet low salary high costs living. fall category makes 200.00 annual allotment. don't make cover don't make qualify help."", 'fortunate well-paid position two-income household. elements financial security difficult... elderly parents need financial assistance, expenses getting college-age kids school, high inflation, etc. ""american dream"" presented goal media public discourse require multiple times salary earn, think i\'m relatively high wage earner nm. spite salary, i\'m living paycheck paycheck, unable meaningful contributions savings. struggles have, imagine harder earn less, really important country address growing divide 1% else.']","[""makes angry it's hard raise line inflation. i've unm 15 years good benefits, extremely expensive. single mom shouldn't struggle years."", 'need job better salary. care job barely pays scrape by.', ""it's not. mom gives wife 10000 year help out."", ""i'm looking better paying job. don't want leave/change roles need make money support family."", 'love job tempted better paying survive']"
52,18,52_living_cost_wages_increases,"['living', 'cost', 'wages', 'increases', 'salaries', 'raise', 'heslth', 'consideration', 'outpaced', 'relocated']","['increase salaries match cost living area', 'pay appropriate wages / cost living increases', 'cost living increases.']","['competing time work rise cost living covid changed everything.', 'relocated order job pays cost living area.', 'provide stipends cost living expenses', 'yearly cost living increase', 'cost living increases.']"
53,18,53_lower_housing_welfare_costs,"['lower', 'housing', 'welfare', 'costs', 'care', 'mortgage', 'nutritious', 'sugars', 'sacrifice', 'psychiatric']","['present lower costs housing food lower costing items addition current options.', '20-40% patients partially seeking medical care food housing comes inpatient psychiatric care, temporarily.', ""decision sacrifice limited financial resources support housing food. snap helped eat better, nutritious fresh food years. report haven't delinquent mortgage payments (which cost savings compared rent), sacrificed make happen.""]","['20-40% patients partially seeking medical care food housing comes inpatient psychiatric care, temporarily.', 'food housing expensive afford', 'food mainly stale times housing costs high', 'rental/mortgage food prices high.', ""offer opportunities free discounted food. snack cafe closed expensive. i'm unsure housing options""]"
54,17,54_more_pay_appropriately_reasonably,"['more', 'pay', 'appropriately', 'reasonably', 'charge', 'better', 'money', 'people', '', '']","['pay more.', 'pay more.', 'pay more.']","['pay', 'pay more.', 'better pay', 'pay more, charge', 'pay people more.']"
55,17,55_vouchers_grocery_stores_cards,"['vouchers', 'grocery', 'stores', 'cards', 'gift', 'case', 'pantries', 'used', 'bands', 'select']","['food vouchers, utilities vouchers.', 'food pantries vouchers', 'provide vouchers need it.']","['provide anonymous food pantry vouchers available just select groups', 'partner grocery stores companies like pepsi donate food beverages receive tax write offs offset donation.', 'provide vouchers need it.', 'food vouchers, utilities vouchers.', 'grocery vouchers need. food pantries provide household items food preferences.']"
56,17,56_cafeteria_discount_steady_selection,"['cafeteria', 'discount', 'steady', 'selection', 'price', 'individuals', 'reasonable', 'serve', 'unmh', 'nationality']","['better selection nutritious food cafeteria reasonable price.', ""cafeteria start offering la carte dishes, serve people individuals, forcing people meal want simple serving. i'm saying offer cut down. just need allow people choose want eat. maybe serve items choice person."", 'affordable cafeteria']","['better company purchase food cafeteria.', 'free food service cafeteria.', 'cheaper food options cafeteria.', 'provide cafeteria meal plan options.', 'offer cafeteria subsidy unmh patients/visitors']"
57,17,57_affordable_options_low_sup,"['affordable', 'options', 'low', 'sup', 'sky', 'prizing', 'rocketing', 'selctions', 'workplace', 'mercado']","['affordable options', 'affordable options', 'sup prizing survey didnâ€™t sky rocketing cost utilities.']","['low income', 'low income', 'expensive', 'make available cheaper', 'better options affordable.']"
58,17,58_moment_sorry_isn_facing,"['moment', 'sorry', 'isn', 'facing', 'unsure', 'doesn', 'all', 'situation', 'can', 'not']","['moment', 'moment', 'moment']","[""moment, isn't."", ""doesn't moment."", 'moment.', 'moment.', 'moment not.']"
59,17,59_does_alot_doesn_younger,"['does', 'alot', 'doesn', 'younger', 'did', '', '', '', '', '']","['does', 'does', 'does']","['does', ""doesn't"", 'does', 'does', 'does']"
60,16,60_stress_credit_card_causing,"['stress', 'credit', 'card', 'causing', 'adds', 'job', 'bills', 'mean', 'employer', 'time']","[""worried doing wrong work ended causing mistakes thought going fired wouldn't able pay rent. couldn't focus tasks work affected multiple job rejections day."", ""stated before, sick add credit card debt isn't gas money commute long distances work. anxiety, depression, fear campus mean eat days work home. afraid faculty's working conditions hellish, discontent all-time high, nervous breakdowns prevalent, lot guns new mexico."", 'ppreciate taking time ask people doing, time law-makers politicians ""think"" know what\'s going on. like just cause job doesn\'t mean don\'t struggle like new mexican there. just hard think that\'s mental state starts stress worry credit card can\'t afford payments credit card. look like doing alright financially really struggling.']","[""normally doesn't, main concern terms questions asked. fluctuations bills cause stress, work hard budget cut needed."", 'general financial difficulties (i.e., living paycheck paycheck) causes stress enter area life, including work.', 'worrying stressing money, food, housing occasionally affect work.', 'inability focus morning, feel freedom critique employer want risk losing paychecks.', 'wake middle night stress. thinking money pay bills mortgage.']"
61,15,61_looking_tougher_hard_getting,"['looking', 'tougher', 'hard', 'getting', 'work', 'ones', 'ok', 'works', 'tough', 'addressing']","[""ok partner's work working job."", 'things getting harder everyone. lucky ones.', 'tough, getting tougher make ends meet, year.']","['making look employment.', 'just try work more,', 'way work', 'work jobs', 'work']"
62,15,62_affecting_jt_yet_really,"['affecting', 'jt', 'yet', 'really', 'me', 'it', '', '', '', '']","['affecting', 'affecting', 'affecting']","['affecting', ""it's affecting me."", 'affecting', 'really affecting yet.', 'affecting']"
63,15,63_not_it__,"['not', 'it', '', '', '', '', '', '', '', '']","[""it's not."", ""it's not."", ""it's not.""]","[""it's not."", ""it's not."", ""it's not."", ""it's not."", ""it's not.""]"
